[train-0/150] [acc-0.6979, loss-0.0508] [3100/4442]
[val-0/150] [acc-0.7369, loss-0.2010] [1081/1467]
[train-1/150] [acc-0.8775, loss-0.0229] [3898/4442]
[val-1/150] [acc-0.7478, loss-0.1936] [1097/1467]
[train-2/150] [acc-0.9183, loss-0.0148] [4079/4442]
[val-2/150] [acc-0.7853, loss-0.1711] [1152/1467]
[train-3/150] [acc-0.9446, loss-0.0102] [4196/4442]
[val-3/150] [acc-0.7778, loss-0.2121] [1141/1467]
[train-4/150] [acc-0.9566, loss-0.0076] [4249/4442]
[val-4/150] [acc-0.7628, loss-0.2396] [1119/1467]
[train-5/150] [acc-0.9701, loss-0.0058] [4309/4442]
[val-5/150] [acc-0.7662, loss-0.2355] [1124/1467]
[train-6/150] [acc-0.9728, loss-0.0050] [4321/4442]
[val-6/150] [acc-0.7628, loss-0.2912] [1119/1467]
[train-7/150] [acc-0.9694, loss-0.0061] [4306/4442]
[val-7/150] [acc-0.7682, loss-0.2527] [1127/1467]
[train-8/150] [acc-0.9806, loss-0.0040] [4356/4442]
[val-8/150] [acc-0.7682, loss-0.2892] [1127/1467]
[train-9/150] [acc-0.9777, loss-0.0045] [4343/4442]
[val-9/150] [acc-0.7621, loss-0.3265] [1118/1467]
[train-10/150] [acc-0.9811, loss-0.0034] [4358/4442]
[val-10/150] [acc-0.7730, loss-0.2974] [1134/1467]
[train-11/150] [acc-0.9892, loss-0.0022] [4394/4442]
[val-11/150] [acc-0.7498, loss-0.3078] [1100/1467]
[train-12/150] [acc-0.9919, loss-0.0014] [4406/4442]
[val-12/150] [acc-0.8044, loss-0.2437] [1180/1467]
[train-13/150] [acc-0.9964, loss-0.0007] [4426/4442]
[val-13/150] [acc-0.8003, loss-0.2623] [1174/1467]
[train-14/150] [acc-0.9973, loss-0.0005] [4430/4442]
[val-14/150] [acc-0.7955, loss-0.2550] [1167/1467]
[train-15/150] [acc-0.9991, loss-0.0003] [4438/4442]
[val-15/150] [acc-0.7969, loss-0.2739] [1169/1467]
[train-16/150] [acc-0.9991, loss-0.0003] [4438/4442]
[val-16/150] [acc-0.7914, loss-0.2658] [1161/1467]
[train-17/150] [acc-0.9986, loss-0.0003] [4436/4442]
[val-17/150] [acc-0.7989, loss-0.2679] [1172/1467]
[train-18/150] [acc-0.9984, loss-0.0004] [4435/4442]
[val-18/150] [acc-0.8003, loss-0.2604] [1174/1467]
[train-19/150] [acc-0.9993, loss-0.0003] [4439/4442]
[val-19/150] [acc-0.8030, loss-0.2652] [1178/1467]
[train-20/150] [acc-0.9982, loss-0.0003] [4434/4442]
[val-20/150] [acc-0.7989, loss-0.2615] [1172/1467]
[train-21/150] [acc-0.9975, loss-0.0004] [4431/4442]
[val-21/150] [acc-0.7989, loss-0.2651] [1172/1467]
[train-22/150] [acc-0.9995, loss-0.0002] [4440/4442]
