[train-0/150] [acc-0.3913, loss-0.1187] [493/1260]
[val-0/150] [acc-0.4952, loss-0.3323] [208/420]
[train-1/150] [acc-0.6492, loss-0.0619] [818/1260]
[val-1/150] [acc-0.5738, loss-0.2984] [241/420]
[train-2/150] [acc-0.7286, loss-0.0459] [918/1260]
[val-2/150] [acc-0.5929, loss-0.3063] [249/420]
[train-3/150] [acc-0.8056, loss-0.0338] [1015/1260]
[val-3/150] [acc-0.5881, loss-0.3226] [247/420]
[train-4/150] [acc-0.8643, loss-0.0249] [1089/1260]
[val-4/150] [acc-0.6143, loss-0.3106] [258/420]
[train-5/150] [acc-0.8913, loss-0.0203] [1123/1260]
[val-5/150] [acc-0.5810, loss-0.3484] [244/420]
[train-6/150] [acc-0.9079, loss-0.0162] [1144/1260]
[val-6/150] [acc-0.6071, loss-0.3493] [255/420]
[train-7/150] [acc-0.9310, loss-0.0133] [1173/1260]
[val-7/150] [acc-0.6119, loss-0.3688] [257/420]
[train-8/150] [acc-0.9540, loss-0.0106] [1202/1260]
[val-8/150] [acc-0.5929, loss-0.4099] [249/420]
[train-9/150] [acc-0.9563, loss-0.0080] [1205/1260]
[val-9/150] [acc-0.6262, loss-0.3767] [263/420]
[train-10/150] [acc-0.9643, loss-0.0075] [1215/1260]
[val-10/150] [acc-0.6262, loss-0.3930] [263/420]
[train-11/150] [acc-0.9675, loss-0.0065] [1219/1260]
[val-11/150] [acc-0.6405, loss-0.3742] [269/420]
[train-12/150] [acc-0.9770, loss-0.0056] [1231/1260]
[val-12/150] [acc-0.6452, loss-0.3639] [271/420]
[train-13/150] [acc-0.9762, loss-0.0051] [1230/1260]
[val-13/150] [acc-0.6095, loss-0.3988] [256/420]
[train-14/150] [acc-0.9770, loss-0.0058] [1231/1260]
[val-14/150] [acc-0.6262, loss-0.3983] [263/420]
[train-15/150] [acc-0.9762, loss-0.0050] [1230/1260]
[val-15/150] [acc-0.6119, loss-0.3753] [257/420]
[train-16/150] [acc-0.9841, loss-0.0041] [1240/1260]
[val-16/150] [acc-0.6357, loss-0.4017] [267/420]
[train-17/150] [acc-0.9833, loss-0.0041] [1239/1260]
[val-17/150] [acc-0.6405, loss-0.3880] [269/420]
[train-18/150] [acc-0.9817, loss-0.0050] [1237/1260]
[val-18/150] [acc-0.6262, loss-0.4036] [263/420]
[train-19/150] [acc-0.9897, loss-0.0034] [1247/1260]
[val-19/150] [acc-0.6524, loss-0.3801] [274/420]
[train-20/150] [acc-0.9873, loss-0.0041] [1244/1260]
[val-20/150] [acc-0.6405, loss-0.3835] [269/420]
[train-21/150] [acc-0.9810, loss-0.0047] [1236/1260]
[val-21/150] [acc-0.6310, loss-0.4051] [265/420]
[train-22/150] [acc-0.9825, loss-0.0044] [1238/1260]
[val-22/150] [acc-0.6357, loss-0.3688] [267/420]
[train-23/150] [acc-0.9794, loss-0.0048] [1234/1260]
[val-23/150] [acc-0.6500, loss-0.3980] [273/420]
[train-24/150] [acc-0.9841, loss-0.0043] [1240/1260]
[val-24/150] [acc-0.6357, loss-0.3936] [267/420]
[train-25/150] [acc-0.9873, loss-0.0040] [1244/1260]
[val-25/150] [acc-0.6095, loss-0.4223] [256/420]
[train-26/150] [acc-0.9865, loss-0.0040] [1243/1260]
[val-26/150] [acc-0.6452, loss-0.3970] [271/420]
[train-27/150] [acc-0.9841, loss-0.0042] [1240/1260]
[val-27/150] [acc-0.6286, loss-0.3676] [264/420]
[train-28/150] [acc-0.9825, loss-0.0039] [1238/1260]
[val-28/150] [acc-0.6167, loss-0.4328] [259/420]
[train-29/150] [acc-0.9849, loss-0.0040] [1241/1260]
[val-29/150] [acc-0.6381, loss-0.4113] [268/420]
[train-30/150] [acc-0.9849, loss-0.0039] [1241/1260]
[val-30/150] [acc-0.6381, loss-0.4035] [268/420]
[train-31/150] [acc-0.9825, loss-0.0044] [1238/1260]
[val-31/150] [acc-0.6095, loss-0.4275] [256/420]
[train-32/150] [acc-0.9873, loss-0.0037] [1244/1260]
[val-32/150] [acc-0.6190, loss-0.4117] [260/420]
[train-33/150] [acc-0.9873, loss-0.0038] [1244/1260]
[val-33/150] [acc-0.6310, loss-0.4080] [265/420]
